OrderId,City,CountryCode,PostalCode,StateOrRegion
701-6477673-0251451,OTTAWA,CA,K1K 3B1,Ontario
701-7408780-7578624,Olds,CA,T4H 0B5,Alberta
701-0527221-1158612,St-Jerome,CA,J7Y 1B1,Quebec
701-5368572-3234667,Sherwood Park,CA,T8H 2T6,Alberta
702-5140175-5592258,Westmount,CA,H3Y2S5,Quebec
702-4718163-4654663,Clyde River,CA,C0A 1H3,Prince Edward Island
701-4642740-4721837,Surrey,CA,V3S1M1,British Columbia
702-4243976-8358658,Mont-Royal,CA,H3S 1A3,Quebec
701-2110397-4373061,Swift Current,CA,S9H 0L3,Saskatchewan
701-5393727-7141049,Toronto,CA,M6S 3E7,Ontario
702-2342637-0637863,Drummondville,CA,J2C 5B2,Quebec
701-0992025-2875461,Dollard-Des-Ormeaux,CA,H9A 2M4,Quebec
702-0743705-3817817,Udora,CA,L0C1L0,Ontario
701-7210486-8433828,London,CA,N6G 0R2,Ontario
701-9803846-1605023,Magog,CA,J1X 4W6,Quebec
702-7644275-1782604,Unionbay,CA,V0R3B0,British Columbia
702-3964192-1745065,"Escuminac, Canada",CA,G0C 1N0,Quebec
701-3244481-9740247,Scarborough,CA,M1P 2H6,ON
701-2283303-4973847,markham,CA,L3S 3V6,Ontario
702-7264734-3268227,Kingston,CA,K7P 2W4,ON
702-4851036-3057822,Marieville,CA,J3M 1E1,Quebec
702-3278402-5230669,Cayuga,CA,N0A 1E0,Ontario
701-6410697-0510629,Amherstview,CA,K7N 1P9,Ontario
701-1873120-5220208,Killam,CA,T0B 2L0,Alberta
701-5469566-7900215,Chilliwack,CA,V2P 6H3,British Columbia
702-2740774-8248254,Cambridge,CA,N1S 4Y9,Ontario
702-2628643-5618604,London,CA,N6H 4N9,ON
701-1300052-6432269,North York,CA,M3B 1L3,Ontario
701-0817122-4681821,St. Catharines,CA,L2R 2S1,Ontario
701-9248241-8686630,North York,CA,M3B 1L3,Ontario
702-9129683-4177063,Sainte-Brigitte-de-Laval,CA,G0A 3K0,Quebec
701-2477480-2355412,SPIRIT RIVER,CA,T0H 3G0,AB
701-7111592-6783446,Montreal,CA,H1T 1H9,Quebec
701-3699037-9919459,Victoria,CA,V8Y 1H2,British Columbia
701-7293928-6546641,Ottawa,CA,K2C 3P4,Ontario
701-8140740-1465857,Smiths Falls,CA,K7A 3G3,Ontario
701-3420159-6376239,Ear falls,CA,P0V 1T0,Ontario
702-4821119-7066613,LES ESCOUMINS,CA,G0T 1K0,QUEBEC
701-8894988-6558611,Courtice,CA,L1E 0C3,Ontario
702-8909083-5491448,Vernon,CA,V1T3E5,BC
702-9257623-0097802,Huntingdon,CA,J0S 1H0,Quebec
702-4043259-6824216,Port Coquitlam,CA,V3B 7Y9,British Columbia
701-2538381-0395417,Laval,CA,H7N 3N3,Quebec
701-8251070-0301866,"Manitouwadge,",CA,P0T 2C0,Ontario
702-3814610-0365851,Coaldale,CA,T1M 1C9,AB
702-2262276-6072235,Fort McMurray,CA,T9K 1M4,Alberta
701-3946872-3953828,London,CA,N5W 5T2,Ontario
702-8913609-4105043,Penetanguishene,CA,L9M 1N8,Ontario
702-2617921-0185850,Saint-Laurent,CA,H4M 2K1,Quebec
701-0317858-4802607,Nepean,CA,K2G 4P6,Ontario
702-2611723-2109053,Stoneham-Et-Tewkesbury,CA,G3C 0L6,Quebec
702-6176490-2212251,Stratford,CA,N5A 7Y3,ON
702-2407626-9402620,Montreal,CA,H1X 2R8,Quebec
702-4871810-8693854,Alma,CA,G8C 0B3,Quebec
702-7514051-8664247,RICHMOND HILL,CA,L4S 2B9,Ontario
702-2828795-9531441,Vercheres,CA,J0L 0A3,Quebec
701-3503503-6477013,Granby,CA,J2H 0Z6,Quebec
702-3564682-8585068,Uxbridge,CA,L9P 1R9,Ontario
701-4987183-9269824,Coquitlam,CA,V3B 7P2,British Columbia
701-5303135-5610638,Vancouver,CA,V5V 4H4,British Columbia
701-2242614-1571451,Oshawa,CA,L1J 8M9,Ontario
701-6207697-4866608,Kitchener,CA,N2A 1P7,Ontario
702-9028170-0124208,London,CA,N6K 2K7,Ontario
701-7468548-1174637,H̩rouxville,CA,G0X 1J0,Qu̩bec
701-0811782-6688204,Courtenay,CA,V9N 8M7,British Columbia
702-9678808-1401064,Toronto,CA,M6R 2C4,ON
701-7978354-3068200,Cochrane,CA,P0L 1C0,Ontario
702-0146377-5558671,Godfrey,CA,K0H 1T0,Ontario
701-8863808-2805052,Stoney Creek,CA,L8J 3P4,Ontario
702-3904594-3798634,Castlegar,CA,V1N 1P5,British Columbia
702-8268414-7561838,cap-chat,CA,G0J 1E0,Quebec
701-5829306-3362649,North Vancouver,CA,V7R 1M9,British Columbia
701-4351037-1270640,Kanata,CA,K2M 0E7,Ontario
701-9644661-5096266,C̫te Saint-Luc,CA,H4W 2G8,Qu̩bec
702-7271350-4501807,kelowna,CA,V1W 4C8,British Columbia
702-8831399-4153034,North York,CA,M3B 3E2,Ontario
701-5936370-6833034,Surrey,CA,V4N 4M9,British Columbia
701-5576052-4913000,Okotoks,CA,T1S 1M2,Alberta
701-8505758-4817035,Saint-Leonard,CA,H1S 2X8,Quebec
701-7454521-6773864,Vancouver,CA,V6R 2P5,British Columbia
702-9448709-9745040,Burnaby,CA,V5C 6T6,British Columbia
702-6105953-9209808,Boischatel,CA,G0A 1H0,Quebec
701-3061337-4297004,Roblin,CA,K0K 2W0,Ontario
701-8427649-0496259,Okotoks,CA,T1S 2N1,Alberta
702-9185809-1991433,Elkford,CA,V0B 1H0,British Columbia
702-6708408-7466618,Stratford,CA,C1B 0B8,Prince Edward Island
702-1950084-9185840,North Vancouver,CA,V7M 2J5,BC
702-0410320-4600256,North York,CA,M3A1S6,Ontario
701-1465779-0086635,Chilliwack,CA,V2R 0J9,British Columbia
702-0444204-9757851,Surrey,CA,V3Z 6Z2,BC
701-2640594-5285830,Ancaster,CA,L9K 1C1,Ontario
701-2867675-6535463,Burnaby,CA,V5C 2Y7,British Columbia
701-3006397-8015415,Lord's Cove,CA,E5V 1J7,New Brunswick
701-5659450-5353026,MONTREAL,CA,H2L 2E0,QC
701-1946429-4223439,Toronto,CA,M1W 3M1,Ontario
702-8402776-7440226,Toronto,CA,M4B 3C8,Ontario
702-3676662-7789861,St Claude,CA,R0G 1Z0,Manitoba
702-1767579-0465024,Victoria,CA,V9C 3L9,British Columbia
701-3969045-1070657,Surrey,CA,V3X 0G6,British Columbia
702-3934393-3851424,Mississauga,CA,L5M 0L2,Ontario
702-5143252-0090652,Toronto,CA,M5V 0J8,Ontario
701-3896351-9507400,Outremont,CA,H2V4B3,QC
702-7583601-9335443,St-henri de levis,CA,G0R 3E0,Quebec
702-5136285-5277038,Vancouver,CA,V6R 1L7,British Columbia
701-9536154-7143450,Moose Jaw,CA,S6H 4L5,Saskatchewan
702-7251285-8288234,Vancouver,CA,V5K 3A2,British Columbia
702-4220619-4417847,Odessa,CA,K0H 2H0,Ontario
701-8165737-4035411,Coquitlam,CA,V3K 3A5,British Columbia
701-8279745-7481011,Lasalle,CA,H8P 1P4,Quebec
702-3163136-7749017,burlington,CA,L7T 1E4,Ontario
701-8268613-3567437,Delta,CA,V4K 5E8,British Columbia
702-0004702-5073836,Kenaston,CA,S0G 2N0,SK
702-7869657-6500258,Tillsonburg,CA,N4G 1C3,Ontario
701-5187407-0967425,Mississauga,CA,L5M7L4,Ontario
702-8418759-1849015,Dorval,CA,H9S5J7,Quebec
701-9521866-0343458,La Prairie,CA,J5R 6B8,Quebec
702-0090719-2381072,Maple,CA,L6A5A4,Ontario
702-0360812-3013862,100 Mile House,CA,V0K 2E0,British Columbia
702-1595195-6493867,Hammonds Plains,CA,B4B 1Y7,Nova Scotia
701-5852033-6784237,Surrey,CA,V4N 0J8,BC
702-7526807-7949001,Toronto,CA,M3C 1R7,Ontario
701-5680471-7565836,Toronto,CA,M4K 1J2,Ontario
702-7516401-4912230,Lawrencetown,CA,B2Z 1L5,Nova Scotia
