OrderId,lat,lng
701-6477673-0251451,45.4285274,-75.63855099999999
701-7408780-7578624,51.8169543,-114.1345647
701-0527221-1158612,45.813217,-74.00770490000001
701-5368572-3234667,53.5519095,-113.2768615
702-5140175-5592258,45.4807823,-73.6047748
702-4718163-4654663,46.2360717,-63.28759119999999
701-4642740-4721837,49.1075585,-122.7204644
702-4243976-8358658,45.5153335,-73.6290049
701-2110397-4373061,50.2857755,-107.7997402
701-5393727-7141049,43.6495014,-79.4773316
702-2342637-0637863,45.8680548,-72.5095937
701-0992025-2875461,45.4921828,-73.824557
702-0743705-3817817,44.25728,-79.18370089999999
701-7210486-8433828,43.0140325,-81.31243409999999
701-9803846-1605023,45.2949137,-72.1173704
702-7644275-1782604,49.58090360000001,-124.8844979
702-3964192-1745065,48.118116,-66.4879101
701-3244481-9740247,43.7624293,-79.2919745
701-2283303-4973847,43.84233709999999,-79.26326259999999
702-7264734-3268227,44.26942409999999,-76.5779652
702-4851036-3057822,45.4336485,-73.1457334
702-3278402-5230669,42.9503552,-79.8558122
701-6410697-0510629,44.2207161,-76.6507037
701-1873120-5220208,52.7924179,-111.8554899
701-5469566-7900215,49.150961,-121.8805389
702-2740774-8248254,43.3472492,-80.33976179999999
702-2628643-5618604,42.9910188,-81.27562759999999
701-1300052-6432269,43.74235840000001,-79.3632758
701-0817122-4681821,43.16785670000001,-79.2307529
701-9248241-8686630,43.74235840000001,-79.3632758
702-9129683-4177063,47.002378,-71.1942119
701-2477480-2355412,55.7773251,-118.8370027
701-7111592-6783446,45.5763739,-73.5748479
701-3699037-9919459,48.512505,-123.3717587
701-7293928-6546641,45.3544827,-75.7054752
701-8140740-1465857,44.8982164,-76.01160949999999
701-3420159-6376239,50.637374,-93.2328919
702-4821119-7066613,48.401499,-69.6615684
701-8894988-6558611,43.90828,-78.76114890000001
702-8909083-5491448,50.2709385,-119.2822107
702-9257623-0097802,45.086891,-74.17606090000001
702-4043259-6824216,49.2647306,-122.7497365
701-2538381-0395417,45.551558,-73.7110912
701-8251070-0301866,49.125056,-85.8292519
702-3814610-0365851,49.7210353,-112.6118094
702-2262276-6072235,56.7366392,-111.4734365
701-3946872-3953828,42.9786337,-81.16768689999999
702-8913609-4105043,44.76260629999999,-79.9397266
702-2617921-0185850,45.5081645,-73.6884026
701-0317858-4802607,45.2733944,-75.7137717
702-2611723-2109053,46.9907264,-71.3717692
702-6176490-2212251,43.3774367,-80.9976396
702-2407626-9402620,45.5566463,-73.5755767
702-4871810-8693854,48.52631299999999,-71.6451175
702-7514051-8664247,43.89020259999999,-79.4174633
702-2828795-9531441,45.773338,-73.3527469
701-3503503-6477013,45.3971466,-72.6857067
702-3564682-8585068,44.1202264,-79.1248645
701-4987183-9269824,49.2857195,-122.7979518
701-5303135-5610638,49.24134,-123.0901202
701-2242614-1571451,43.890811,-78.8884187
701-6207697-4866608,43.4359078,-80.4343906
702-9028170-0124208,42.9474391,-81.3292835
701-7468548-1174637,-30.4164179,26.838024
701-0811782-6688204,49.6981684,-124.9745447
702-9678808-1401064,43.641588,-79.43927
701-7978354-3068200,49.0625,-81.0249599
702-0146377-5558671,44.542679,-76.679104
701-8863808-2805052,43.1783068,-79.7837912
702-3904594-3798634,49.3276719,-117.6592524
702-8268414-7561838,49.0461199,-66.6935537
701-5829306-3362649,49.3409596,-123.0945185
701-4351037-1270640,45.2781723,-75.8660251
701-9644661-5096266,45.4634203,-73.668666
702-7271350-4501807,49.82576,-119.3943275
702-8831399-4153034,43.7481146,-79.36468359999999
701-5936370-6833034,49.1967852,-122.758467
701-5576052-4913000,50.7197437,-113.986822
701-8505758-4817035,45.5710893,-73.5924323
701-7454521-6773864,49.2620806,-123.198931
702-9448709-9745040,49.26596139999999,-123.0083511
702-6105953-9209808,46.896612,-71.13541300000001
701-3061337-4297004,44.378496,-77.0214
701-8427649-0496259,50.7380858,-113.9593033
702-9185809-1991433,50.41343089999999,-115.1027938
702-6708408-7466618,46.2101863,-63.10542460000001
702-1950084-9185840,49.3237396,-123.0726075
702-0410320-4600256,43.7484592,-79.3321212
701-1465779-0086635,49.1609723,-122.0207442
701-2640594-5285830,43.2376723,-79.93378589999999
701-2867675-6535463,49.2775922,-122.993417
701-3006397-8015415,45.005602,-66.9610087
701-5659450-5353026,45.51661,-73.55806000000001
701-1946429-4223439,43.8169672,-79.3199734
702-8402776-7440226,43.7062376,-79.3160998
702-3676662-7789861,49.657729,-98.3464709
702-1767579-0465024,48.4219944,-123.5068045
701-3969045-1070657,49.1092289,-122.8676666
